timestamp,value1,value2,value3,value4,value5,value6
15.2,4.9999999990223685e-6,2.237045719465978e-17,9.776295428053406e-16,0.0,0.0,0.0
15.3,4.999999999021817e-6,2.1819088600377732e-17,9.781809113996225e-16,0.0,0.0,0.0
15.4,4.999999999021278e-6,2.1280501852809438e-17,9.78719498147191e-16,0.0,0.0,0.0
15.5,4.999999999020753e-6,2.075458894995954e-17,9.792454110500406e-16,0.0,0.0,0.0
15.6,4.999999999020239e-6,2.0241188658094033e-17,9.797588113419064e-16,0.0,0.0,0.0
15.7,4.999999999019738e-6,1.9740079860251875e-17,9.802599201397484e-16,0.0,0.0,0.0
15.8,4.999999999019249e-6,1.9251041439472007e-17,9.807489585605282e-16,0.0,0.0,0.0
15.9,4.999999999018771e-6,1.8773852278793413e-17,9.81226147721207e-16,0.0,0.0,0.0
16.0,4.999999999018307e-6,1.8308291261255025e-17,9.816917087387454e-16,0.0,0.0,0.0
16.1,4.999999999017852e-6,1.78541372698958e-17,9.821458627301046e-16,0.0,0.0,0.0
16.2,4.999999999017409e-6,1.7411169187754722e-17,9.825888308122456e-16,0.0,0.0,0.0
16.3,4.999999999016977e-6,1.697916589787071e-17,9.830208341021298e-16,0.0,0.0,0.0
16.4,4.999999999016555e-6,1.6557906283282746e-17,9.834420937167176e-16,0.0,0.0,0.0
16.5,4.999999999016145e-6,1.614716922702977e-17,9.838528307729708e-16,0.0,0.0,0.0
16.6,4.999999999015745e-6,1.574673361215074e-17,9.842532663878497e-16,0.0,0.0,0.0
16.7,4.999999999015354e-6,1.5356378321684638e-17,9.846436216783157e-16,0.0,0.0,0.0
16.8,4.999999999014973e-6,1.4975882238670382e-17,9.850241177613301e-16,0.0,0.0,0.0
16.9,4.999999999014603e-6,1.460502424614696e-17,9.853949757538535e-16,0.0,0.0,0.0
17.0,4.999999999014241e-6,1.42435832271533e-17,9.857564167728473e-16,0.0,0.0,0.0
17.1,4.999999999013889e-6,1.3891338064728372e-17,9.86108661935272e-16,0.0,0.0,0.0
17.2,4.999999999013547e-6,1.3548067641911146e-17,9.864519323580892e-16,0.0,0.0,0.0
17.3,4.999999999013211e-6,1.3213550841740555e-17,9.867864491582598e-16,0.0,0.0,0.0
17.4,4.999999999012885e-6,1.2887566547255572e-17,9.871124334527447e-16,0.0,0.0,0.0
17.5,4.999999999012568e-6,1.2569893641495137e-17,9.874301063585052e-16,0.0,0.0,0.0
17.6,4.999999999012258e-6,1.2260311007498216e-17,9.877396889925022e-16,0.0,0.0,0.0
17.7,4.999999999011957e-6,1.1958597528303776e-17,9.880414024716966e-16,0.0,0.0,0.0
17.8,4.999999999011662e-6,1.1664532086950748e-17,9.883354679130498e-16,0.0,0.0,0.0
17.9,4.999999999011376e-6,1.1377893566478114e-17,9.886221064335223e-16,0.0,0.0,0.0
18.0,4.999999999011096e-6,1.1098460849924806e-17,9.889015391500756e-16,0.0,0.0,0.0
18.1,4.9999999990108235e-6,1.0826012820329796e-17,9.891739871796705e-16,0.0,0.0,0.0
18.2,4.9999999990105575e-6,1.0560328360732041e-17,9.894396716392684e-16,0.0,0.0,0.0
18.3,4.999999999010299e-6,1.0301186354170487e-17,9.8969881364583e-16,0.0,0.0,0.0
18.4,4.999999999010046e-6,1.0048365683684102e-17,9.899516343163163e-16,0.0,0.0,0.0
18.5,4.999999999009799e-6,9.80164523231183e-18,9.901983547676886e-16,0.0,0.0,0.0
18.6,4.999999999009559e-6,9.560803883092629e-18,9.904391961169078e-16,0.0,0.0,0.0
18.7,4.999999999009323e-6,9.32562051906547e-18,9.90674379480935e-16,0.0,0.0,0.0
18.8,4.999999999009094e-6,9.09587402326929e-18,9.909041259767313e-16,0.0,0.0,0.0
18.9,4.999999999008869e-6,8.871358748089456e-18,9.911286412519109e-16,0.0,0.0,0.0
19.0,4.999999999008649e-6,8.652043362205855e-18,9.913479566377946e-16,0.0,0.0,0.0
19.1,4.999999999008436e-6,8.437869982388876e-18,9.915621300176116e-16,0.0,0.0,0.0
19.2,4.9999999990082265e-6,8.228753005491562e-18,9.917712469945089e-16,0.0,0.0,0.0
19.3,4.999999999008022e-6,8.02460682836693e-18,9.919753931716335e-16,0.0,0.0,0.0
19.4,4.999999999007823e-6,7.825345847868027e-18,9.921746541521326e-16,0.0,0.0,0.0
19.5,4.9999999990076285e-6,7.630884460847871e-18,9.923691155391527e-16,0.0,0.0,0.0
19.6,4.999999999007439e-6,7.441137064159506e-18,9.925588629358408e-16,0.0,0.0,0.0
19.7,4.999999999007254e-6,7.256018054655967e-18,9.927439819453443e-16,0.0,0.0,0.0
19.8,4.999999999007074e-6,7.075441829190276e-18,9.929245581708102e-16,0.0,0.0,0.0
19.9,4.999999999006897e-6,6.899322784615475e-18,9.93100677215385e-16,0.0,0.0,0.0
20.0,4.999999999006726e-6,6.7275753177845924e-18,9.93272424682216e-16,0.0,0.0,0.0
20.1,4.999999999006557e-6,6.560113825550659e-18,9.934398861744497e-16,0.0,0.0,0.0
20.2,4.999999999006395e-6,6.396852704766717e-18,9.936031472952338e-16,0.0,0.0,0.0
20.3,4.999999999006235e-6,6.2377063522857865e-18,9.937622936477147e-16,0.0,0.0,0.0
20.4,4.999999999006081e-6,6.082589164960914e-18,9.939174108350395e-16,0.0,0.0,0.0
20.5,4.999999999005929e-6,5.931415539645119e-18,9.940685844603553e-16,0.0,0.0,0.0
20.6,4.999999999005782e-6,5.7840998731914414e-18,9.942159001268092e-16,0.0,0.0,0.0
20.7,4.999999999005638e-6,5.640556562452916e-18,9.943594434375475e-16,0.0,0.0,0.0
20.8,4.999999999005498e-6,5.5007000042825706e-18,9.944992999957179e-16,0.0,0.0,0.0
20.9,4.999999999005363e-6,5.364444595533443e-18,9.946355554044669e-16,0.0,0.0,0.0
21.0,4.99999999900523e-6,5.231704733058559e-18,9.94768295266942e-16,0.0,0.0,0.0
21.1,4.9999999990051e-6,5.102394813710956e-18,9.948976051862896e-16,0.0,0.0,0.0
21.2,4.999999999004974e-6,4.976429234343671e-18,9.950235707656569e-16,0.0,0.0,0.0
21.3,4.999999999004852e-6,4.853722391809728e-18,9.951462776081906e-16,0.0,0.0,0.0
21.4,4.999999999004732e-6,4.7341886829621684e-18,9.952658113170383e-16,0.0,0.0,0.0
21.5,4.9999999990046156e-6,4.6177425046540164e-18,9.953822574953465e-16,0.0,0.0,0.0
21.6,4.999999999004501e-6,4.50429825373831e-18,9.95495701746262e-16,0.0,0.0,0.0
21.7,4.999999999004391e-6,4.393770327068085e-18,9.956062296729323e-16,0.0,0.0,0.0
